horse_id,sire,sire_id,dam,dam_id,damsire,damsire_id
2018104162,ジャングルポケット,1998101786,ニホンピロオーロラ,2010103091,マンハッタンカフェ,1998101554
2018104208,キンシャサノキセキ,2003110212,アサケゴマ,2010103144,クロフネ,1998110135
2018104225,キングヘイロー,1995104427,ヒーリング,2013101094,バトルプラン Battle Plan(米),000a0118e8
2018104240,ドゥラメンテ,2012104511,ボイルトウショウ,2011102321,ケイムホーム Came Home(米),000a0108d1
2018104261,キングカメハメハ,2001103460,ホワイトエレガンス,2012103409,クロフネ,1998110135
2018104266,フェノーメノ,2009106599,ユキノクイーン,2006101447,タイキシャトル,1994109686
2018104268,ゴールドシップ,2009102739,レディインディ Lady Indy(米),000a0114e8,A.P. Indy,000a001d37
2018104317,エピファネイア,2010104155,サトノフラリッシュ,2012103489,エンパイアメーカー Empire Maker(米),000a010542
2018104322,ケープブランコ Cape Blanco(英),000a011b06,セブンシークィーン,2006101515,コロナドズクエスト Coronado's Quest(米),000a0000b5
2018104331,グラスワンダー,1995108676,チアフルスマイル,2000104770,サンデーサイレンス Sunday Silence(米),000a00033a
2018104332,ヘニーヒューズ Henny Hughes(米),000a011155,チャームポット,2006102033,フジキセキ,1992109618
2018104333,ミッキーアイル,2011103916,ティンクルチャーミ,2007100860,スウェプトオーヴァーボード Swept Overboard(米),000a00fa34
2018104346,リオンディーズ,2013105915,マーヴェリックス,2010104060,Smart Strike (加),000a00211c
2018104347,ワールドエース,2009106353,ユキノシンデレラ,2000102685,サンダーガルチ Thunder Gulch(米),000a00035c
2018104367,ロードカナロア,2008103552,トレノトマト,2003105456,デヒア Dehere(米),000a0000df
2018104379,ストロングリターン,2006102934,キモンオレンジ,2011102583,ダンスインザダーク,1993109188
2018104392,ヘニーヒューズ Henny Hughes(米),000a011155,ラブフール,2007103423,ゼンノロブロイ,2000101517
2018104395,ナカヤマフェスタ,2006102424,キズナII,000a012e2b,Hurricane Run (愛),000a01189d
2018104403,バゴ Bago(仏),2001190004,マイネマリアンヌ,2009105127,ダイワメジャー,2001103114
2018104420,リヤンドファミユ,2010104396,アマノブラウニイー,2007102089,サクラバクシンオー,1989108341
2018104460,ジョーカプチーノ,2006100529,ミスベルツリー,2006104843,アグネスデジタル,1997110025
2018104462,ジョーカプチーノ,2006100529,モリトオウカ,1998104267,ブライアンズタイム Brian's Time(米),000a000082
2018104463,キズナ,2010105827,ウィローパドック,2006103108,クロフネ,1998110135
2018104475,ディープインパクト,2002100816,シスタリーラヴ Sisterly Love(米),000a012955,Bellamy Road,000a011cf9
2018104477,ドゥラメンテ,2012104511,スターズインハーアイズ Stars In Her Eyes(愛),000a00fe59,Woodman,000a001beb
2018104481,キズナ,2010105827,ブリリアントクラン,2008101014,ロックオブジブラルタル,000a00fd4c
2018104503,ジャスタウェイ,2009106461,アオゾラペダル,2006103044,ホワイトマズル White Muzzle(英),1990109700
2018104511,Le Havre,000a01198f,アブソリュートレディ Absolute Lady(愛),000a013e6e,Galileo (愛),000a00232b
2018104512,キングカメハメハ,2001103460,アプリコットフィズ,2007102942,ジャングルポケット,1998101786
2018104517,シンボリクリスエス,1999110099,アルティマチャーム,2013105364,キングカメハメハ,2001103460
2018104525,ハーツクライ,2001103038,アンリミテッドバジェット Unlimited Budget(米),000a012946,ストリートセンス Street Sense(米),000a0113a2
2018104533,ルーラーシップ,2007103143,イントロダクション,2011104311,デュランダル,1999106756
2018104534,ロードカナロア,2008103552,ウィケットキーパー,2009105795,アグネスタキオン,1998101516
2018104541,ディープインパクト,2002100816,ヴェルダ Velda(英),000a012809,Observatory,000a010bee
2018104558,オルフェーヴル,2008102636,オヴァンボクイーン Ovambo Queen(独),000a012166,Kalatos,000a01204e
2018104559,ダイワメジャー,2001103114,オフジオールドブロック Offtheoldblock(米),000a01151d,A.P. Indy,000a001d37
2018104561,エピファネイア,2010104155,オメガエンブレム,2009105760,ウォーエンブレム War Emblem(米),000a00fa35
2018104571,ローエングリン,1999106738,オープンユアアイズ,2013105372,ヴィクトワールピサ,2007102923
2018104574,キズナ,2010105827,オールドパサデナ,2009105757,エンパイアメーカー Empire Maker(米),000a010542
2018104576,エピファネイア,2010104155,カジノブギ,2013105437,ワークフォース Workforce(英),000a011a7f
2018104579,ハービンジャー Harbinger(英),000a011996,カレンケカリーナ,2010103791,ハーツクライ,2001103038
2018104586,ディープインパクト,2002100816,キャンディネバダ Candy Nevada(亜),000a012941,Pure Prize,000a011252
2018104591,マジェスティックウォリアー Majestic Warrior(米),000a011e9c,クインリーグレイス,2007102756,スペシャルウィーク,1995103211
2018104598,ロードカナロア,2008103552,クリスマスキャロル,2007102758,アグネスタキオン,1998101516
2018104607,ディープインパクト,2002100816,コンテスティッド Contested(米),000a0120cc,Ghostzapper,000a010525
2018104609,ハーツクライ,2001103038,ゴジップガール Gozzip Girl(米),000a011ade,Dynaformer,000a001dd9
2018104611,スクリーンヒーロー,2004103328,サイレントクロップ,2009105801,シンボリクリスエス,1999110099
2018104621,ディープインパクト,2002100816,シアードラマ Sheer Drama(米),000a013875,Burning Roma,000a013729
2018104633,ダイワメジャー,2001103114,シークレットジプシー Secret Gypsy(米),000a011add,Sea of Secrets,000a00fb8b
2018104638,ジャスタウェイ,2009106461,ジプシーハイウェイ Gypsy Highway(愛),000a0120ed,High Chaparral (愛),000a010270
2018104646,スクリーンヒーロー,2004103328,ステラスターライト,2012104317,ディープインパクト,2002100816
2018104662,オルフェーヴル,2008102636,ソーマジック,2005102296,シンボリクリスエス,1999110099
2018104663,ディープインパクト,2002100816,ターフローズ Turfrose(独),000a011870,Big Shuffle (米),000a010a77
2018104665,キングカメハメハ,2001103460,ダイワズーム,2009105930,ハーツクライ,2001103038
2018104674,ディープインパクト,2002100816,ダンサーデスティネイション Dancer Destination(英),000a012fcc,Dubai Destination,000a010a60
2018104688,ジャスタウェイ,2009106461,ディオニージア Dionisia(米),000a0111c3,Tejano Run,000a010a79
2018104697,トーセンラー,2008102985,トレサンセール,2014105591,Rip Van Winkle (愛),000a012465
2018104698,ハーツクライ,2001103038,トレラピッド Tres Rapide(愛),2005190001,Anabaa Blue,000a011385
2018104700,ディープインパクト,2002100816,ドバウィハイツ Dubawi Heights(英),000a011de0,Dubawi,000a0115e2
2018104708,ヴィクトワールピサ,2007102923,ノッテビアンカ Notte Bianca(仏),000a013870,Kendargent,000a0126fd
2018104711,ルーラーシップ,2007103143,ノーブルコロネット,2010103850,ディープインパクト,2002100816
2018104713,ハーツクライ,2001103038,ノーブルステラ,000a011478,Monsun,000a010db6
2018104714,ディープインパクト,2002100816,ハウオリ,2006100448,キングカメハメハ,2001103460
2018104723,ダイワメジャー,2001103114,ハートシェイプト Heart Shaped(米),000a0124be,Storm Cat (米),000a001a98
2018104729,ハーツクライ,2001103038,パーソナルレジェンド Personal Legend(米),000a010ac0,Awesome Again (加),000a0021cb
2018104738,ハーツクライ,2001103038,ピュアマインド,2008102879,ティンバーカントリー Timber Country(米),000a00035e
2018104746,エピファネイア,2010104155,ファンタジックアイ,2011104376,ネオユニヴァース,2000101426
2018104750,エピファネイア,2010104155,フェータルローズ,2009105960,タニノギムレット,1999100226
2018104754,パイロ Pyro(米),000a01176a,フレンドリーマナー,2000101417,サンデーサイレンス Sunday Silence(米),000a00033a
2018104756,ルーラーシップ,2007103143,フローレスダンサー,2012104286,ハービンジャー Harbinger(英),000a011996
2018104757,Dark Angel,000a0122b4,ブギーダモーレ Bugie d'Amore(英),000a013e72,Rail Link (英),000a010d4a
2018104762,キングカメハメハ,2001103460,ブリッジクライム,2009106032,ゼンノロブロイ,2000101517
2018104765,ディープインパクト,2002100816,ブルーミンバー,2005102305,ファルブラヴ Falbrav(愛),1998190004
2018104775,ディープブリランテ,2009105084,ヘヴンリークルーズ,2005102301,ファルブラヴ Falbrav(愛),1998190004
