rank,waku,umaban,horse_name,horse_id,sex_age,kinryo,jockey,jockey_id,time,diff,passing,last_3f,odds,popularity,horse_weight,trainer,trainer_id,race_id,date,place,surface,distance,track_condition
1,7,14,サンディブロンド,2021105821,牝3,55.0,戸崎圭太,5386,1:12.6,,2-2,38.5,4.2,3.0,466(-12),[東]田中博康,1162,202406010101,2024-01-06,中山,ダート,1200.0,良
2,4,7,マイネルディレクト,2021106805,牡3,57.0,丹内祐次,1091,1:12.8,1,5-4,38.1,8.4,5.0,496(+6),[東]高橋裕,412,202406010101,2024-01-06,中山,ダート,1200.0,良
3,8,16,セイウンチドリ,2021102685,牝3,55.0,三浦皇成,1122,1:13.2,2.1/2,5-4,38.6,15.3,6.0,446(-6),[東]村田一誠,1190,202406010101,2024-01-06,中山,ダート,1200.0,良
4,2,4,グリントリッター,2021100328,セ3,57.0,石川裕紀,1150,1:13.2,クビ,4-4,38.7,3.9,2.0,420(+2),[東]深山雅史,1174,202406010101,2024-01-06,中山,ダート,1200.0,良
5,6,12,マニーブルース,2021102752,牡3,57.0,吉田豊,733,1:13.3,1,8-7,38.1,50.9,9.0,458(+4),[東]小手川準,1171,202406010101,2024-01-06,中山,ダート,1200.0,良
6,8,15,ニシノリピート,2021100402,牝3,55.0,田辺裕信,1075,1:13.7,2.1/2,8-8,38.5,42.5,8.0,462(0),[東]小島茂之,1068,202406010101,2024-01-06,中山,ダート,1200.0,良
7,1,2,ミッキードラマー,2021104782,牡3,57.0,菊沢一樹,1161,1:13.7,クビ,1-1,39.8,7.8,4.0,528(+4),[東]菊沢隆徳,1115,202406010101,2024-01-06,中山,ダート,1200.0,良
8,6,11,イデアガウディ,2021103105,牡3,57.0,横山武史,1170,1:13.9,3/4,2-2,39.9,3.3,1.0,484(+6),[東]中野栄治,1010,202406010101,2024-01-06,中山,ダート,1200.0,良
9,5,9,サナダ,2021101169,牡3,56.0,佐々木大,1197,1:14.1,1.1/2,5-8,39.4,15.8,7.0,486(0),[東]杉浦宏昭,1008,202406010101,2024-01-06,中山,ダート,1200.0,良
10,7,13,クインタレッリ,2021102792,牡3,56.0,永野猛蔵,1188,1:14.6,3,12-12,38.0,125.7,12.0,502(+10),[東]尾形和幸,1141,202406010101,2024-01-06,中山,ダート,1200.0,良
11,5,10,ダイシンペルル,2021106538,牝3,55.0,大野拓弥,1096,1:14.8,1.1/4,14-14,37.9,269.0,14.0,468(+6),[東]小笠倫弘,1076,202406010101,2024-01-06,中山,ダート,1200.0,良
12,4,8,スターリーアイド,2021103974,牡3,53.0,小林美駒,1206,1:14.9,アタマ,11-11,38.8,84.6,10.0,440(+8),[東]鈴木伸尋,1026,202406010101,2024-01-06,中山,ダート,1200.0,良
13,3,5,ラスジャン,2021101587,牡3,57.0,内田博幸,422,1:15.3,2.1/2,12-12,38.7,107.1,11.0,460(-4),[東]上原博之,423,202406010101,2024-01-06,中山,ダート,1200.0,良
14,2,3,エテルノアキーロ,2021106007,牡3,57.0,黛弘人,1109,1:16.2,5,15-15,39.0,422.9,16.0,456(-4),[東]中野栄治,1010,202406010101,2024-01-06,中山,ダート,1200.0,良
15,3,6,ツクバアプローズ,2021100211,牝3,55.0,柴田大知,1009,1:16.2,クビ,10-10,40.9,235.8,13.0,476(+8),[東]和田雄二,1143,202406010101,2024-01-06,中山,ダート,1200.0,良
16,1,1,コーストガード,2021103189,牡3,54.0,佐藤翔馬,1207,1:16.8,3.1/2,15-15,39.6,421.5,15.0,470(+2),[東]青木孝文,1156,202406010101,2024-01-06,中山,ダート,1200.0,良
1,6,12,ファイントパーズ,2021107212,牝3,51.0,小林美駒,1206,1:56.0,,1-1-1-1,39.6,7.3,3.0,460(-10),[東]鈴木伸尋,1026,202406010102,2024-01-06,中山,ダート,1800.0,良
2,4,7,ゴールドアローン,2021106874,牝3,55.0,野中悠太,1158,1:56.4,2,2-2-2-2,39.8,43.3,8.0,456(-2),[東]青木孝文,1156,202406010102,2024-01-06,中山,ダート,1800.0,良
3,6,11,カフェアローロ,2021100469,牝3,54.0,永野猛蔵,1188,1:56.4,アタマ,9-8-5-4,39.3,14.7,5.0,494(+4),[東]古賀慎明,1079,202406010102,2024-01-06,中山,ダート,1800.0,良
4,7,14,カピリナ,2021104073,牝3,55.0,戸崎圭太,5386,1:56.5,1/2,2-3-3-2,39.8,3.0,2.0,468(-8),[東]田島俊明,1112,202406010102,2024-01-06,中山,ダート,1800.0,良
5,3,6,セージグリーン,2021104850,牝3,54.0,佐々木大,1197,1:56.7,1.1/4,6-6-5-6,39.6,2.1,1.0,472(-6),[東]菊川正達,1052,202406010102,2024-01-06,中山,ダート,1800.0,良
6,3,5,ビーナスライズ,2021102342,牝3,54.0,原優介,1184,1:56.9,1.1/4,10-10-9-7,39.5,10.8,4.0,480(-4),[東]小手川準,1171,202406010102,2024-01-06,中山,ダート,1800.0,良
7,5,9,ラブショック,2021100627,牝3,52.0,水沼元輝,1201,1:57.1,1,14-14-14-8,39.0,216.8,14.0,470(+8),[東]加藤和宏,1077,202406010102,2024-01-06,中山,ダート,1800.0,良
8,4,8,ファーマシャイン,2021101591,牝3,52.0,小林勝太,1205,1:58.9,大,12-13-13-8,40.9,505.5,16.0,440(-2),[東]武井亮,1147,202406010102,2024-01-06,中山,ダート,1800.0,良
9,8,15,マツリボタン,2021103758,牝3,53.0,小林凌大,1177,1:59.3,2.1/2,14-14-11-11,41.6,125.9,11.0,450(-2),[東]伊藤圭三,1023,202406010102,2024-01-06,中山,ダート,1800.0,良
10,5,10,アートハラン,2021103174,牝3,55.0,キング,5643,1:59.6,1.3/4,8-8-9-11,42.2,102.7,10.0,442(+4),[東]大竹正博,1102,202406010102,2024-01-06,中山,ダート,1800.0,良
11,1,1,マーゴットエクラ,2021102925,牝3,55.0,丸田恭介,1117,1:59.7,クビ,5-5-7-8,42.5,152.8,12.0,458(-2),[東]伊坂重信,1177,202406010102,2024-01-06,中山,ダート,1800.0,良
12,2,4,クインズスピカ,2021106559,牝3,55.0,江田照男,689,2:00.2,3,2-3-3-4,43.5,18.1,6.0,466(+12),[東]村田一誠,1190,202406010102,2024-01-06,中山,ダート,1800.0,良
13,8,16,ウインアリス,2021106224,牝3,55.0,キングス,5660,2:00.8,3.1/2,12-11-12-14,42.9,28.2,7.0,460(+8),[東]上原博之,423,202406010102,2024-01-06,中山,ダート,1800.0,良
14,2,3,ミルフルール,2021100614,牝3,55.0,伊藤工真,1119,2:00.8,ハナ,16-16-15-15,41.1,361.9,15.0,482(-4),[東]伊坂重信,1177,202406010102,2024-01-06,中山,ダート,1800.0,良
15,7,13,オーシンダイヤ,2021102394,牝3,55.0,津村明秀,1092,2:01.7,5,6-6-7-13,44.5,177.4,13.0,448(-6),[東]鈴木慎太,1179,202406010102,2024-01-06,中山,ダート,1800.0,良
16,1,2,ニシノフルール,2021104837,牝3,55.0,大野拓弥,1096,2:03.2,9,10-11-15-16,43.6,49.5,9.0,460(0),[東]杉浦宏昭,1008,202406010102,2024-01-06,中山,ダート,1800.0,良
1,8,15,フェデラルスタイル,2021105032,牝3,55.0,津村明秀,1092,1:13.5,,5-5,38.2,11.2,5.0,388(0),[東]鈴木伸尋,1026,202406010103,2024-01-06,中山,ダート,1200.0,良
2,6,12,マンウォル,2021103744,牝3,55.0,菊沢一樹,1161,1:13.5,ハナ,7-8,37.8,7.7,4.0,434(0),[東]菊沢隆徳,1115,202406010103,2024-01-06,中山,ダート,1200.0,良
3,3,5,ミューシグ,2021103326,牝3,55.0,黛弘人,1109,1:13.9,2,10-10,37.4,121.5,14.0,472(0),[東]南田美知,437,202406010103,2024-01-06,中山,ダート,1200.0,良
4,2,4,ジェットブレイク,2021100637,牡3,57.0,内田博幸,422,1:13.9,クビ,3-3,38.9,16.3,6.0,488(0),[東]斎藤誠,1086,202406010103,2024-01-06,中山,ダート,1200.0,良
5,4,8,ヒカルエリザベス,2021104487,牝3,55.0,的場勇人,1108,1:14.2,1.3/4,1-1,39.5,66.2,12.0,478(0),[東]的場均,1063,202406010103,2024-01-06,中山,ダート,1200.0,良
6,5,10,マンマミーア,2021103317,牡3,57.0,柴田大知,1009,1:14.5,1.1/2,3-3,39.5,4.9,3.0,466(0),[東]深山雅史,1174,202406010103,2024-01-06,中山,ダート,1200.0,良
7,6,11,ニシノデスティーノ,2021106995,セ3,55.0,小林脩斗,1183,1:14.6,1/2,6-8,39.1,38.8,9.0,468(0),[東]武藤善則,1064,202406010103,2024-01-06,中山,ダート,1200.0,良
8,2,3,ケイティブルーム,2021107164,牝3,52.0,小林勝太,1205,1:14.7,3/4,7-6,39.0,88.8,13.0,444(0),[東]小野次郎,1125,202406010103,2024-01-06,中山,ダート,1200.0,良
9,8,16,ホウオウバラード,2021103511,牡3,57.0,吉田豊,733,1:14.7,クビ,2-2,40.0,18.4,7.0,408(0),[東]田島俊明,1112,202406010103,2024-01-06,中山,ダート,1200.0,良
10,5,9,ビアメントブラスト,2021100608,牝3,55.0,木幡巧也,1162,1:14.7,ハナ,7-6,39.1,37.8,8.0,448(0),[東]本間忍,1056,202406010103,2024-01-06,中山,ダート,1200.0,良
11,4,7,ソウテンノヒカリ,2021106365,牡3,55.0,藤田菜七,1164,1:15.1,2.1/2,12-13,37.7,3.0,1.0,470(0),[東]小笠倫弘,1076,202406010103,2024-01-06,中山,ダート,1200.0,良
12,7,13,ユズノキ,2021104570,牝3,55.0,ピーヒュ,5661,1:15.3,1,14-14,37.5,3.9,2.0,456(0),[東]奥村武,1145,202406010103,2024-01-06,中山,ダート,1200.0,良
13,7,14,アイリータイム,2021104546,牝3,55.0,荻野極,1160,1:15.4,1/2,12-12,38.1,48.6,10.0,494(0),[東]畠山吉宏,1048,202406010103,2024-01-06,中山,ダート,1200.0,良
14,1,2,エルキーオ,2021101881,牡3,57.0,大野拓弥,1096,1:15.7,1.3/4,15-14,37.1,62.0,11.0,482(0),[東]新開幸一,1116,202406010103,2024-01-06,中山,ダート,1200.0,良
15,3,6,キャラメルコード,2021103100,牝3,55.0,杉原誠人,1135,1:15.7,アタマ,11-11,38.6,181.5,15.0,390(0),[東]加藤和宏,1077,202406010103,2024-01-06,中山,ダート,1200.0,良
取,1,1,ガラスノイチゴ,2021102025,牝3,55.0,武士沢友,1029,,,,,---,,計不,[東]小桧山悟,1005,202406010103,2024-01-06,中山,ダート,1200.0,良
1,2,4,マコタイガ,2021101356,牡3,57.0,吉田豊,733,1:57.8,,6-7-2-2,39.8,58.6,11.0,496(0),[東]小野次郎,1125,202406010104,2024-01-06,中山,ダート,1800.0,良
2,3,5,ラブラドライト,2021103109,牡3,55.0,小林脩斗,1183,1:57.9,クビ,5-4-5-5,39.8,117.6,13.0,472(0),[東]武藤善則,1064,202406010104,2024-01-06,中山,ダート,1800.0,良
3,1,2,タイキオナード,2021103169,牡3,56.0,原優介,1184,1:58.1,1.1/2,9-8-7-7,39.3,13.9,6.0,478(0),[東]高木登,1088,202406010104,2024-01-06,中山,ダート,1800.0,良
4,7,14,プラチナバンド,2021100045,牡3,57.0,大野拓弥,1096,1:58.2,クビ,10-10-8-8,39.1,13.5,5.0,516(0),[東]新開幸一,1116,202406010104,2024-01-06,中山,ダート,1800.0,良
5,5,9,レッドスフェーン,2021105308,セ3,57.0,ピーヒュ,5661,1:58.2,ハナ,6-4-5-5,40.1,7.9,3.0,436(0),[東]林徹,1163,202406010104,2024-01-06,中山,ダート,1800.0,良
6,8,16,カミノケンシン,2021109071,牡3,55.0,小林凌大,1177,1:58.9,4,12-12-10-10,39.4,130.2,14.0,474(0),[東]奥平雅士,1074,202406010104,2024-01-06,中山,ダート,1800.0,良
7,5,10,キツネノヨメイリ,2021110094,牝3,55.0,菅原明良,1179,1:59.0,クビ,2-2-2-2,41.0,8.7,4.0,492(0),[東]上原佑紀,1192,202406010104,2024-01-06,中山,ダート,1800.0,良
8,2,3,ネオクラウン,2021106120,牡3,57.0,津村明秀,1092,1:59.3,2,1-1-1-1,41.4,43.4,10.0,484(0),[東]鈴木伸尋,1026,202406010104,2024-01-06,中山,ダート,1800.0,良
9,1,1,ノアファラオ,2021104358,牡3,57.0,柴田善臣,641,1:59.5,1,11-10-11-10,39.7,148.6,15.0,450(0),[東]石毛善彦,428,202406010104,2024-01-06,中山,ダート,1800.0,良
10,4,8,ビッグロゴスルーフ,2021106522,牡3,57.0,柴田大知,1009,1:59.5,ハナ,12-12-11-12,39.7,96.2,12.0,486(0),[東]田中剛,1119,202406010104,2024-01-06,中山,ダート,1800.0,良
11,7,13,タルマイサン,2021102857,牡3,54.0,小林勝太,1205,1:59.7,1.1/4,15-15-13-13,39.8,15.4,7.0,470(0),[東]加藤士津,1169,202406010104,2024-01-06,中山,ダート,1800.0,良
12,4,7,リムショット,2021105656,牡3,57.0,キングス,5660,1:59.8,クビ,14-12-14-13,39.7,20.3,8.0,524(0),[東]中川公成,1081,202406010104,2024-01-06,中山,ダート,1800.0,良
13,8,15,ヴェサリウス,2021104401,牡3,57.0,丹内祐次,1091,1:59.8,クビ,3-2-2-2,41.8,2.6,1.0,476(0),[東]菊沢隆徳,1115,202406010104,2024-01-06,中山,ダート,1800.0,良
14,6,11,サザンクーガー,2021100843,牡3,53.0,小林美駒,1206,1:59.9,1/2,8-8-8-9,40.8,34.2,9.0,500(0),[東]鈴木伸尋,1026,202406010104,2024-01-06,中山,ダート,1800.0,良
15,3,6,エコロブレード,2021103713,牡3,57.0,横山武史,1170,2:00.0,1/2,4-4-16-16,39.4,3.7,2.0,440(0),[東]加藤征弘,1059,202406010104,2024-01-06,中山,ダート,1800.0,良
16,6,12,ダンシングボビー,2021102229,牡3,57.0,伴啓太,1149,2:00.0,アタマ,15-15-14-15,40.0,162.1,16.0,486(0),[東]尾形和幸,1141,202406010104,2024-01-06,中山,ダート,1800.0,良
1,8,15,ミッキーラッキー,2021105561,牡3,57.0,キング,5643,1:59.8,,2-2-2-2,35.4,2.8,1.0,550(+4),[東]堀宣行,1070,202406010105,2024-01-06,中山,芝,2000.0,良
2,1,2,マイネルモメンタム,2021106811,牡3,57.0,石川裕紀,1150,1:59.8,アタマ,6-5-6-5,34.9,7.3,4.0,470(+2),[東]相沢郁,1020,202406010105,2024-01-06,中山,芝,2000.0,良
3,4,7,ウイントレメンデス,2021106193,牡3,57.0,横山武史,1170,1:59.8,ハナ,1-1-1-1,35.5,4.4,3.0,480(+4),[東]鈴木伸尋,1026,202406010105,2024-01-06,中山,芝,2000.0,良
4,5,10,ウォータースケイプ,2021105458,牡3,57.0,戸崎圭太,5386,2:00.3,3,3-5-5-3,35.6,4.2,2.0,554(-2),[東]宮田敬介,1175,202406010105,2024-01-06,中山,芝,2000.0,良
5,8,16,ハイラント,2021103033,牡3,57.0,北村宏司,1043,2:00.4,クビ,6-7-7-6,35.4,306.7,11.0,430(0),[東]伊藤大士,1109,202406010105,2024-01-06,中山,芝,2000.0,良
6,6,12,エラン,2021105453,牡3,57.0,ピーヒュ,5661,2:00.5,3/4,9-10-9-7,35.3,66.9,9.0,452(+2),[東]蛯名正義,1191,202406010105,2024-01-06,中山,芝,2000.0,良
7,1,1,ジーティーオウジャ,2021104943,牡3,57.0,キングス,5660,2:00.6,クビ,11-7-8-7,35.5,34.3,8.0,518(+6),[東]大竹正博,1102,202406010105,2024-01-06,中山,芝,2000.0,良
8,3,5,レディマキシマ,2021106812,牝3,55.0,丹内祐次,1091,2:00.7,1/2,3-3-3-3,36.1,20.6,7.0,480(-6),[東]中野栄治,1010,202406010105,2024-01-06,中山,芝,2000.0,良
9,7,13,イモータルバード,2021100674,牡3,57.0,津村明秀,1092,2:01.0,2,9-10-11-10,35.5,19.8,6.0,476(-2),[東]栗田徹,1127,202406010105,2024-01-06,中山,芝,2000.0,良
10,3,6,フェスティヴカレン,2021103193,牝3,55.0,江田照男,689,2:01.3,1.3/4,6-7-9-10,36.0,489.1,15.0,448(-6),[東]天間昭一,1090,202406010105,2024-01-06,中山,芝,2000.0,良
11,2,4,ネクタール,2021106961,牝3,52.0,佐藤翔馬,1207,2:01.3,クビ,15-16-16-15,34.7,501.7,16.0,406(-6),[東]小桧山悟,1005,202406010105,2024-01-06,中山,芝,2000.0,良
12,2,3,マイネルガンナー,2021106775,牡3,57.0,柴田大知,1009,2:01.3,クビ,14-13-13-14,35.7,162.1,10.0,460(+12),[東]畠山吉宏,1048,202406010105,2024-01-06,中山,芝,2000.0,良
13,7,14,フォローウィンド,2021105904,牡3,57.0,三浦皇成,1122,2:01.4,1/2,15-15-13-10,35.8,7.3,5.0,510(+14),[東]鹿戸雄一,1097,202406010105,2024-01-06,中山,芝,2000.0,良
14,5,9,ハルノドゥミプリエ,2021103198,牝3,54.0,秋山稔樹,1181,2:02.2,5,11-12-11-10,36.7,444.3,13.0,446(-12),[東]勢司和浩,1047,202406010105,2024-01-06,中山,芝,2000.0,良
15,4,8,ゴールデンスロープ,2021102482,牡3,56.0,永野猛蔵,1188,2:03.5,8,3-3-3-7,38.9,530.0,17.0,444(+10),[東]小笠倫弘,1076,202406010105,2024-01-06,中山,芝,2000.0,良
16,8,17,プティキャドウ,2021102860,牝3,54.0,原優介,1184,2:04.4,5,13-13-15-16,38.0,401.2,12.0,370(-6),[東]高橋文雅,1134,202406010105,2024-01-06,中山,芝,2000.0,良
17,6,11,キラーインキラーズ,2021106317,牡3,53.0,小林美駒,1206,2:14.4,大,17-17-17-17,45.1,485.3,14.0,418(+4),[東]佐藤吉勝,1035,202406010105,2024-01-06,中山,芝,2000.0,良
1,6,11,ルーラーリッチ,2020102793,セ4,57.0,菅原明良,1179,2:36.5,,10-10-7-4,38.5,3.0,1.0,486(-2),[東]小島茂之,1068,202406010106,2024-01-06,中山,ダート,2400.0,良
2,3,6,ダスク,2020106953,牡4,57.0,武藤雅,1169,2:37.1,3.1/2,6-6-3-2,39.6,11.2,6.0,466(0),[東]戸田博文,1054,202406010106,2024-01-06,中山,ダート,2400.0,良
3,1,2,トゥザヒロイン,2019105314,牝5,56.0,杉原誠人,1135,2:37.2,1/2,7-7-5-4,39.6,56.5,9.0,530(0),[東]辻哲英,1182,202406010106,2024-01-06,中山,ダート,2400.0,良
4,6,12,キガサ,2019100275,牝5,56.0,柴田大知,1009,2:37.7,3,15-15-13-13,39.0,39.1,8.0,446(+6),[東]鈴木慎太,1179,202406010106,2024-01-06,中山,ダート,2400.0,良
5,2,3,コトブキヘスペラス,2020100209,牡4,57.0,江田照男,689,2:37.7,アタマ,13-13-10-10,39.4,62.1,10.0,452(0),[東]金成貴史,1132,202406010106,2024-01-06,中山,ダート,2400.0,良
6,5,9,デリシュレーヌ,2018101497,牝6,56.0,吉田豊,733,2:37.8,1/2,14-14-13-13,39.2,8.6,4.0,490(+4),[東]高橋文雅,1134,202406010106,2024-01-06,中山,ダート,2400.0,良
7,4,8,ゴンドワナ,2020103921,牡4,56.0,横山琉人,1192,2:38.0,3/4,8-8-7-8,40.1,247.7,15.0,496(0),[東]小島茂之,1068,202406010106,2024-01-06,中山,ダート,2400.0,良
8,1,1,クロスザルビコン,2017105117,牡7,55.0,小林勝太,1205,2:38.1,3/4,5-5-5-4,40.5,3.1,2.0,460(0),[東]大和田成,1124,202406010106,2024-01-06,中山,ダート,2400.0,良
9,7,13,クラウンローゼン,2020101425,牡4,56.0,原優介,1184,2:38.1,アタマ,11-11-10-10,39.7,145.7,13.0,488(+8),[東]奥平雅士,1074,202406010106,2024-01-06,中山,ダート,2400.0,良
10,3,5,ポンサン,2020100838,牡4,57.0,横山和生,1140,2:38.4,2,16-16-10-10,40.1,14.6,7.0,484(0),[東]小西一男,405,202406010106,2024-01-06,中山,ダート,2400.0,良
11,2,4,リネンマンボ,2020101457,牡4,57.0,草野太郎,1113,2:38.7,1.1/2,8-8-7-7,40.7,429.6,16.0,464(+4),[東]粕谷昌央,1096,202406010106,2024-01-06,中山,ダート,2400.0,良
12,5,10,サトノバトラー,2018105256,セ6,58.0,キング,5643,2:39.1,2.1/2,2-2-1-1,41.7,9.2,5.0,504(+8),[東]堀宣行,1070,202406010106,2024-01-06,中山,ダート,2400.0,良
13,8,15,クリスプブリーズ,2020103923,牡4,56.0,佐々木大,1197,2:39.8,4,2-2-2-2,42.4,106.3,12.0,514(+4),[東]菊川正達,1052,202406010106,2024-01-06,中山,ダート,2400.0,良
14,4,7,パワーエンブレム,2019106702,牡5,58.0,宮崎北斗,1118,2:39.8,ハナ,11-11-16-15,41.0,170.2,14.0,506(+4),[東]中川公成,1081,202406010106,2024-01-06,中山,ダート,2400.0,良
15,7,14,アオイゴールドワン,2019106321,セ5,58.0,木幡巧也,1162,2:40.6,5,4-4-3-8,43.1,8.3,3.0,488(+16),[東]牧光二,1106,202406010106,2024-01-06,中山,ダート,2400.0,良
16,8,16,サプライズビュー,2018102681,牡6,58.0,ピーヒュ,5661,2:46.6,大,1-1-13-16,47.9,78.4,11.0,506(-2),[東]栗田徹,1127,202406010106,2024-01-06,中山,ダート,2400.0,良
1,4,5,スピリットガイド,2021110021,牡3,57.0,戸崎圭太,5386,1:07.6,,7-7,33.8,4.8,3.0,524(+4),[東]手塚貴久,1038,202406010107,2024-01-06,中山,芝,1200.0,良
2,3,3,アララララ,2021106440,牡3,57.0,丹内祐次,1091,1:07.7,1/2,1-1,34.8,2.7,1.0,440(-8),[東]清水英克,1080,202406010107,2024-01-06,中山,芝,1200.0,良
3,6,8,イサチルシーサイド,2021102670,牡3,57.0,木幡初也,1153,1:07.7,ハナ,2-2,34.7,26.3,9.0,478(+8),[東]竹内正洋,1152,202406010107,2024-01-06,中山,芝,1200.0,良
4,4,4,カイコウ,2021102388,セ3,57.0,菅原明良,1179,1:08.1,2.1/2,11-9,34.0,44.0,11.0,452(-12),[東]田島俊明,1112,202406010107,2024-01-06,中山,芝,1200.0,良
5,7,11,タイセイフェスタ,2021106939,牡3,57.0,横山和生,1140,1:08.1,クビ,11-11,33.9,16.4,5.0,484(0),[東]高橋裕,412,202406010107,2024-01-06,中山,芝,1200.0,良
6,1,1,オンザヴィーナス,2021105057,牝3,55.0,ピーヒュ,5661,1:08.1,ハナ,3-3,34.9,21.3,6.0,428(0),[東]大和田成,1124,202406010107,2024-01-06,中山,芝,1200.0,良
7,6,9,クールベイビー,2021100356,牝3,54.0,原優介,1184,1:08.2,1/2,3-3,35.0,11.8,4.0,470(+4),[東]矢野英一,1108,202406010107,2024-01-06,中山,芝,1200.0,良
8,8,13,キョウエイカンセ,2021101905,牡3,56.0,永野猛蔵,1188,1:08.3,1/2,5-5,34.8,70.7,12.0,472(+8),[東]萱野浩二,1024,202406010107,2024-01-06,中山,芝,1200.0,良
9,5,6,レザンノワール,2021104665,牡3,57.0,横山武史,1170,1:08.4,クビ,9-9,34.5,3.2,2.0,474(+6),[東]伊藤圭三,1023,202406010107,2024-01-06,中山,芝,1200.0,良
10,7,10,モンレーヴ,2021101394,牝3,54.0,佐々木大,1197,1:08.5,3/4,5-5,34.9,24.5,7.0,468(+2),[東]金成貴史,1132,202406010107,2024-01-06,中山,芝,1200.0,良
11,8,12,イスラアズール,2021103552,牡3,53.0,小林美駒,1206,1:08.7,1,7-7,34.9,25.9,8.0,466(0),[東]武井亮,1147,202406010107,2024-01-06,中山,芝,1200.0,良
12,2,2,イツツボシ,2021106372,牝3,53.0,藤田菜七,1164,1:09.0,2,9-11,35.1,157.6,13.0,410(0),[東]本間忍,1056,202406010107,2024-01-06,中山,芝,1200.0,良
13,5,7,ステラシティ,2021102669,牝3,55.0,田辺裕信,1075,1:09.1,3/4,13-13,34.1,42.9,10.0,456(-2),[東]伊坂重信,1177,202406010107,2024-01-06,中山,芝,1200.0,良
1,4,8,セイカティターニア,2020101856,牝4,54.0,横山琉人,1192,1:55.8,,4-4-3-2,39.1,5.6,3.0,410(+2),[東]相沢郁,1020,202406010108,2024-01-06,中山,ダート,1800.0,良
2,2,4,イージーオンミー,2020101143,牝4,55.0,石橋脩,1077,1:55.9,3/4,11-10-7-8,38.9,45.7,11.0,444(+16),[東]中舘英二,1153,202406010108,2024-01-06,中山,ダート,1800.0,良
3,5,10,サイモンポーリア,2018101166,牝6,56.0,丸山元気,1127,1:56.0,1/2,5-5-4-3,39.2,112.6,14.0,486(+2),[東]根本康広,1029,202406010108,2024-01-06,中山,ダート,1800.0,良
4,6,11,ミニョンルミエール,2019104303,牝5,52.0,小林美駒,1206,1:56.1,1/2,6-8-7-7,39.1,12.0,6.0,460(+14),[東]和田雄二,1143,202406010108,2024-01-06,中山,ダート,1800.0,良
5,7,13,ルージュクレセント,2020104570,牝4,54.0,佐々木大,1197,1:56.2,1/2,9-11-11-10,38.9,8.6,4.0,452(0),[東]国枝栄,399,202406010108,2024-01-06,中山,ダート,1800.0,良
6,3,6,テンホワイトラブ,2020104052,牝4,53.0,小林凌大,1177,1:56.2,アタマ,16-16-15-15,38.4,33.0,10.0,512(+12),[東]小西一男,405,202406010108,2024-01-06,中山,ダート,1800.0,良
7,8,16,ジェイエルフラッグ,2016103409,牝8,53.0,佐藤翔馬,1207,1:56.2,ハナ,13-13-13-13,38.7,233.7,15.0,452(-2),[東]小西一男,405,202406010108,2024-01-06,中山,ダート,1800.0,良
8,6,12,リキサンハート,2018102813,牝6,56.0,菊沢一樹,1161,1:56.4,3/4,14-13-13-13,38.9,67.8,12.0,512(+12),[東]奥平雅士,1074,202406010108,2024-01-06,中山,ダート,1800.0,良
9,1,1,ミツカネヴィーナス,2019100844,牝5,56.0,津村明秀,1092,1:56.6,1.1/2,12-11-11-10,39.3,13.7,7.0,458(+4),[東]鈴木伸尋,1026,202406010108,2024-01-06,中山,ダート,1800.0,良
10,1,2,シンボリックレルム,2019104958,牝5,56.0,横山和生,1140,1:56.7,アタマ,9-8-9-10,39.6,4.8,2.0,494(-8),[東]水野貴広,1094,202406010108,2024-01-06,中山,ダート,1800.0,良
11,4,7,ランスノーブル,2020101250,牝4,55.0,田辺裕信,1075,1:56.9,1.1/2,6-5-9-8,39.8,3.4,1.0,456(+2),[東]上原博之,423,202406010108,2024-01-06,中山,ダート,1800.0,良
12,3,5,アステロイドメア,2020101709,牝4,55.0,三浦皇成,1122,1:56.9,クビ,6-5-5-3,40.0,9.6,5.0,488(+6),[東]武市康男,1089,202406010108,2024-01-06,中山,ダート,1800.0,良
13,7,14,スピリチュアル,2020104634,牝4,53.0,小林脩斗,1183,1:57.0,3/4,3-3-5-3,40.1,98.3,13.0,434(-4),[東]武藤善則,1064,202406010108,2024-01-06,中山,ダート,1800.0,良
14,8,15,ラズライト,2019103122,牝5,53.0,小林勝太,1205,1:57.2,1.1/4,1-1-1-1,40.7,16.2,8.0,448(-4),[東]松山将樹,1100,202406010108,2024-01-06,中山,ダート,1800.0,良
15,2,3,ウェンダヴズクライ,2020104086,牝4,53.0,藤田菜七,1164,1:58.7,9,14-15-16-16,40.8,272.0,16.0,416(+4),[東]根本康広,1029,202406010108,2024-01-06,中山,ダート,1800.0,良
16,5,9,バイロイト,2019101920,牝5,56.0,丹内祐次,1091,2:01.1,大,2-2-2-3,44.5,21.0,9.0,490(+10),[東]栗田徹,1127,202406010108,2024-01-06,中山,ダート,1800.0,良
1,8,8,アドマイヤハレー,2018104895,牡6,58.0,丹内祐次,1091,2:11.8,,7-7-2-2,34.9,12.7,5.0,474(+10),[東]宮田敬介,1175,202406010109,2024-01-06,中山,芝,2200.0,良
2,2,2,ジオフロント,2018104881,牡6,58.0,ピーヒュ,5661,2:12.0,1.1/2,2-2-3-3,34.6,5.6,2.0,466(-4),[西]清水久詞,1110,202406010109,2024-01-06,中山,芝,2200.0,良
3,7,7,サンセットクラウド,2019100668,牡5,58.0,横山武史,1170,2:12.1,クビ,5-5-5-4,34.2,6.7,3.0,462(0),[西]矢作芳人,1075,202406010109,2024-01-06,中山,芝,2200.0,良
